gy,gx,lat,lon,n,route_density,obs_outage,obs_uplink,obs_rsrp,n_passes,dist_m,az_deg,log_d,az_cos1,az_sin1,az_cos2,az_sin2,rsrp,ul_mid,ul_lo,ul_hi,p_outage,p_outage_ml,ul_ml,ul_expected,uncertainty
23342,-38803,41.936455839999994,-93.81012722,5,1,1.0,,,1,9876.079864895211,197.82373439473184,3.9945845932832893,-0.952002678811903,-0.30608969197763036,0.8126182009300786,0.5827964134388288,-93.85483134609318,20.683930033003932,6.122342190161645,47.925534840522715,0.6057176181584069,0.9998603920050227,4.610264739220488,8.155309199257653,41.80319265036107
23342,-38802,41.936086966666664,-93.80744243333334,3,1,1.0,,,1,9849.791746205952,196.52071615318386,3.9934270483220073,-0.9587169821662825,-0.2843620018672956,0.8382765037880484,0.5452453605459529,-93.78592659837396,20.97020336863481,6.223296395379531,48.08847513651672,0.6057176181584069,0.9997707927207389,3.1658483201457517,8.268181731887934,41.865178741137186
23342,-38801,41.93606735,-93.80492715,4,1,1.0,,,1,9794.840124391376,195.3500778429861,3.990997351646603,-0.9643264188877462,-0.2647159946719034,0.8598508843297297,0.5105452543285286,-93.6969036489002,21.340060273087918,6.353726320860107,48.742074571248246,0.6057176181584069,0.9997364576268172,4.524374784978717,8.414009793116263,42.38834825038814
23342,-38800,41.93605253333333,-93.8026991,3,1,1.0,,,1,9749.33356882123,194.30290010366662,3.9889749298241353,-0.9690032279751956,-0.2470480604531256,0.8779345116526975,0.47878073608817995,-93.62575460021874,21.635657835914863,6.457968711978283,49.26444524392066,0.6057176181584069,0.9996287486621958,3.9889042720268177,8.53055870425424,42.80647653194238
23342,-38799,41.936034750000005,-93.8004685,2,1,1.0,,,1,9707.381730105906,193.2446060994124,3.9871021080231044,-0.9734008313755277,-0.22910875469399153,0.8950183570451368,0.44602930458908635,-93.56247607428615,21.898556334090124,6.550679787837898,49.72903116277269,0.6057176181584069,0.9998006139671971,13.848391380282157,8.63421495029736,43.17835137493479
23342,-38798,41.936003325,-93.797728525,4,1,1.0,,,1,9661.461054508525,191.93134098048108,3.985042807567683,-0.9783960443463664,-0.20673940216461628,0.9145176391852341,0.4045460265767864,-93.4964071491059,22.173047892639453,6.647479152931743,50.214103971597766,0.6057176181584069,0.9998014329077312,17.184677525625116,8.742442135797601,43.56662481866602
23342,-38797,41.93638121428571,-93.79537534285714,7,2,1.0,,,2,9581.881284553654,190.84432139762657,3.981450785830971,-0.9821420072246029,-0.1881411109907352,0.9292058447103437,0.36956257677981486,-93.40131914873817,22.568102804598023,6.786795148137172,50.91223252898099,0.6057176181584069,0.9996178944780563,17.525776242811858,8.898205327442847,44.12543738084381
23342,-38796,41.936074575,-93.79275025,4,1,1.0,,,1,9577.088674867417,189.52996200128163,3.9812335085985864,-0.9861991574212238,-0.1655633470961136,0.9451775561966637,0.3265568668120497,-93.39110935176433,22.61052067466592,6.801753797186003,50.987192048636,0.6057176181584069,0.9997580862212526,29.74839563064932,8.914929946285865,44.185438251449995
23342,-38795,41.93611896666667,-93.7904076,3,1,1.0,,,1,9542.075983568535,188.38726440939254,3.9796428705244313,-0.9893047795656942,-0.1458631314913854,0.9574478937430536,0.28860618629369383,-93.35342082605544,22.76710233742244,6.856972273194057,51.26389821535826,0.6057176181584069,0.9997625751737398,15.125233976710042,8.976667337230221,44.4069259421642
23342,-38794,41.936182699999996,-93.78757030000001,3,1,1.0,,,1,9503.685162609665,186.99353412498388,3.9778920405994374,-0.9925598983749842,-0.12175733299412037,0.9703503037243177,0.24170289212610643,-93.31778479377549,22.915156661211604,6.909183585694658,51.52553513810601,0.6057176181584069,0.9998128238793589,4.609956011927339,9.03504254865576,44.61635155241135
23342,-38793,41.9362194,-93.78566489999999,3,1,1.0,,,1,9481.750865242826,186.0511709111862,3.976888539965037,-0.9944281442881855,-0.10541662984347276,0.9777746683048885,0.20965852718471834,-93.30144413626645,22.98304595311606,6.93312472394952,51.645506949579115,0.6057176181584069,0.9999142147698825,6.91444067230229,9.061810100369389,44.7123822256296
23342,-38792,41.9362547,-93.78350995,4,1,1.0,,,1,9460.732737347966,184.98009754527774,3.9759247739771957,-0.9962249127020646,-0.08680969595479425,0.9849281533764723,0.17296396354851534,-93.2902962117313,23.029361390697282,6.949457849002982,51.72735412738749,0.6057176181584069,0.999905348265132,22.917779248030527,9.08007146141495,44.77789627838451
23342,-38791,41.936302833333336,-93.78061016666668,3,1,1.0,,,1,9437.616057521434,183.5320528777668,3.9748623053345935,-0.9981004899577895,-0.0616069147581693,0.9924091761079593,0.12297978360983311,-93.28607061198748,23.04691716985249,6.955648889211771,51.75837814557929,0.6057176181584069,0.9916314079476586,10.332352053015505,9.08699339583535,44.80272925636752
23342,-38790,41.93632993333333,-93.77829533333333,3,1,1.0,,,1,9424.75939173838,182.37127522951081,3.974270271750599,-0.9991436985529404,-0.04137474642763392,0.996576260716098,0.08267863434479242,-93.29285305786613,23.01873865574884,6.945711744736571,51.70858196584617,0.6057176181584069,0.9991653809660022,5.792053892928937,9.075883104177805,44.7628702211096
23342,-38789,41.936341125,-93.77622255,4,1,1.0,,,1,9417.986683040004,181.32935775412307,3.9739580720181147,-0.9997308533346781,-0.02319958815833212,0.9989235582185676,0.04638668813308493,-93.30697746781385,22.960057039700693,6.9250176905872864,51.60488166820021,0.6057176181584069,0.9998828172220932,10.43413975690914,9.052745976832027,44.67986397761292
23342,-38788,41.9363109,-93.7736019,4,1,1.0,,,1,9418.816256855554,180.0104763878074,3.973996324722866,-0.999999983283403,-0.00018284745993588647,0.9999999331336128,0.00036569491375859837,-93.33874897143271,22.828058380391447,6.878468403309033,51.37161780839083,0.6057176181584069,0.9999826939136467,9.487304604496048,9.000701231039681,44.493149405081795
23342,-38787,41.9362786,-93.771081875,4,1,1.0,,,1,9424.67217025265,178.74314264145733,3.974266252551417,-0.9997594090380952,0.02193453988116693,0.999037751920403,-0.04385852525823597,-93.37824331794208,22.66397421075089,6.820604170517691,51.08165344856892,0.6057176181584069,0.9999819527368109,9.487304604496048,8.936005733811301,44.26104927805123
23342,-38786,41.936249025,-93.768797125,4,1,1.0,,,1,9433.988066098162,177.59599715456238,3.974695322531795,-0.9991199021088183,0.041945455177710415,0.9964811575798693,-0.08381707814212772,-93.42100758028191,22.486304769514366,6.757949095807321,50.76768162605295,0.6057176181584069,0.9999161098188065,9.487304604496048,8.8659538033401,44.00973253024563
23342,-38785,41.93618646666666,-93.76626929999999,3,1,1.0,,,1,9451.99643424698,176.331296647003,3.9755235491233494,-0.9979507188507643,0.06398720766874373,0.9918112745095141,-0.12771215978055186,-93.47923472800127,22.244392849746234,6.672638930474911,50.34018252542368,0.6057176181584069,0.9997164661228604,15.70606020235193,8.77057219541805,43.66754359494877
23342,-38784,41.9361429,-93.76410035,4,1,1.0,,,1,9469.980046232433,175.249855000592,3.9763490639219348,-0.9965652929304247,0.08281072953728097,0.9862847661470066,-0.16505259787820517,-93.53373564586612,22.01796201488285,6.592788165051463,49.94004110886322,0.6057176181584069,0.9996853190346627,10.356924133527096,8.681294506525735,43.34725294381175
23342,-38783,41.936109075000005,-93.76180115,4,1,1.0,,,1,9491.340314124393,174.10752477640108,3.977327545401632,-0.9947163085009095,0.10266189946773555,0.9789210687953531,-0.20423893132447477,-93.59553058484538,21.76122726303692,6.502250732470467,49.486347567760994,0.6057176181584069,0.9998782210359841,19.980822136476725,8.58006851706641,42.98409683529053
23342,-38782,41.93608896666667,-93.75906943333332,3,1,1.0,,,1,9519.375917542317,172.75592743000948,3.9786084773286063,-0.9920180000545848,0.1260963424041387,0.9681994248645964,-0.2501796828119036,-93.67350845488876,21.437258513399005,6.388003250905157,48.913840230235095,0.6057176181584069,0.9997483556725687,19.637541885405778,8.45233334681693,42.52583697932994
23342,-38781,41.93613387777778,-93.75608748222223,45,2,1.0,,,2,9548.630628379713,171.28372202183346,3.979941093763838,-0.9884508730643323,0.15154164951708538,0.9540702569232817,-0.2995829515415442,-93.75886806950754,21.082621388760497,6.262940576172481,48.28713670947416,0.6057176181584069,0.9999115902631182,23.26945990756037,8.312506176625005,42.02419613330168
23342,-38780,41.93608895714285,-93.75446112857142,7,2,1.0,,,2,9574.839038947102,170.49248303235697,3.98113148184853,-0.9862639394906603,0.16517700100305505,0.9454331166792735,-0.3258162394450516,-93.81679566601767,20.841953991709588,6.178069291399875,47.95645972909047,0.6057176181584069,0.9998007110466262,34.316785960121855,8.217615262084156,41.7783904376906
23342,-38779,41.936134440000004,-93.75191084000001,5,2,1.0,,,2,9606.917137895543,169.2465219277192,3.9825840448174197,-0.9824390731951875,0.18658367415018107,0.9303730650812381,-0.36661418381091354,-93.8986019981895,20.50207942048279,6.058212626662482,47.88994713613754,0.6057176181584069,0.9998927315014723,21.794656525424603,8.083608706613465,41.83173450947506
23342,-38778,41.936163379999996,-93.74961092,5,2,1.0,,,2,9641.025407107643,168.1320941976395,3.984123227363974,-0.9786243367384136,0.2056560418351478,0.9154111849133999,-0.40252001507433793,-93.97807251655927,20.171909277915365,5.941778225756387,47.82533367529955,0.6057176181584069,0.9994005781878856,33.983172998045916,7.953428436389001,41.88355544954316
23342,-38777,41.93620936,-93.74688584,5,2,1.0,,,2,9684.850106334616,166.8206625020755,3.986092903475831,-0.9736611894387357,0.22799975478220702,0.8960322236385069,-0.4439890248659675,-94.07575861082292,20.080808823529416,5.79865569307674,47.745910050594425,0.6057176181584069,0.9996537574322485,24.59168507430513,7.917509132246858,41.947254357517686
23342,-38776,41.9362267,-93.74460389999999,5,2,1.0,,,2,9727.693710467749,165.73545368418263,3.988009887797507,-0.969168384801193,0.24639935450777173,0.8785747161963069,-0.4776049288487074,-94.16356263257147,20.080808823529416,5.670011651498062,47.67452103946112,0.6057176181584069,0.9994386593240056,15.602340464295017,7.917509132246858,42.004509387963054
23342,-38775,41.93625054,-93.7421803,5,2,1.0,,,2,9776.396209225435,164.59278478034366,3.9901787939616398,-0.9640619552833795,0.2656775232781035,0.8588309072496255,-0.5122591851326681,-94.2594867799802,20.080808823529416,5.62,47.596529964668164,0.6057176181584069,0.9999226067590482,14.81196932302674,7.917509132246858,41.97652996466817
23342,-38774,41.93627378,-93.73955576,5,2,1.0,,,2,9833.744004185357,163.36914415504907,3.992718898379932,-0.9581685820099465,0.2862044172423766,0.8361740631019032,-0.5484641612682222,-94.36703703056536,20.080808823529416,5.62,47.509086293142474,0.6057176181584069,0.9999122057483509,15.667418227613048,7.917509132246858,41.889086293142476
23342,-38773,41.93655855,-93.73731838333333,18,2,1.0,,,2,9858.056770546851,162.2857189509765,3.9937913148396262,-0.9525856710181274,0.3042705036163444,0.8148389212581123,-0.5796874437167979,-94.43347404622914,20.080808823529416,5.62,47.45506971444329,0.6057176181584069,0.9998423086121024,13.3135920656062,7.917509132246858,41.83506971444329
23342,-38772,41.93630077777778,-93.735512,9,1,1.0,,,1,9931.665300399443,161.51470702793677,3.9970220752966537,-0.9484050716461446,0.31706122449121915,0.7989443598482574,-0.6014049466596181,-94.53959639471529,20.080808823529416,5.62,47.368786997926435,0.6057176181584069,0.9999184705737123,13.3135920656062,7.917509132246858,41.74878699792644
23342,-38771,41.936254,-93.732765075,4,1,1.0,,,1,10010.826427133143,160.29049988361157,4.000469931418229,-0.9414146386754441,0.33725135742882206,0.7725230438248338,-0.6349867295933151,-94.66685390852693,20.080808823529416,5.62,47.265320346976054,0.6057176181584069,0.9998921525136781,13.3135920656062,7.917509132246858,41.64532034697606
23342,-38770,41.93622933333334,-93.7302449,3,1,1.0,,,1,10085.508435215432,159.18059806068595,4.003697796950625,-0.9347053737388206,0.3554234999318023,0.7473482713924563,-0.6644325106786297,-94.78359508325093,20.080808823529416,5.62,47.170403999682165,0.6057176181584069,0.9998766797452777,18.089080918135366,7.917509132246858,41.55040399968217
23342,-38769,41.9361998,-93.727912525,4,1,1.0,,,1,10158.636127475409,158.16984204088521,4.006835404594406,-0.9282902267008608,0.3718564978747371,0.7234454899766712,-0.6903815054246558,-94.89362023103017,20.080808823529416,5.62,47.155193798449645,0.6057176181584069,0.9998589512937897,18.089080918135366,7.917509132246858,41.53519379844965
